"city","year","breaks"
"OAKLAND",2014,337
"OAKLAND",2013,304
"OAKLAND",2011,289
"OAKLAND",2012,257
"OAKLAND",2010,212
"SAN JOSE",2013,167
"SAN JOSE",2011,159
"SAN JOSE",2012,158
"SAN JOSE",2010,145
"SAN JOSE",2014,124
"SAN FRANCISCO",2013,115
"BERKELEY",2013,105
"BERKELEY",2014,104
"SAN FRANCISCO",2011,97
"RICHMOND",2013,95
"BERKELEY",2011,92
"SAN FRANCISCO",2014,92
"RICHMOND",2010,89
"BERKELEY",2012,88
"SAN FRANCISCO",2012,85
"LAFAYETTE",2014,83
"BERKELEY",2010,80
"RICHMOND",2011,75
"SAN FRANCISCO",2010,75
"RICHMOND",2012,72
"LAFAYETTE",2013,71
"RICHMOND",2014,70
"ORINDA",2014,62
"LAFAYETTE",2012,55
"ORINDA",2013,54
"SAN LEANDRO",2013,52
"LAFAYETTE",2011,51
"SAN LEANDRO",2012,50
"EL CERRITO",2013,48
"SAN LEANDRO",2014,46
"EL CERRITO",2010,45
"ORINDA",2012,43
"CASTRO VALLEY",2013,39
"SAN LEANDRO",2011,39
"EL CERRITO",2011,38
"EL CERRITO",2014,38
"ORINDA",2011,38
"LAFAYETTE",2010,32
"EL CERRITO",2012,31
"CASTRO VALLEY",2014,30
"LOS GATOS",2013,27
"SARATOGA",2011,27
"SARATOGA",2012,24
"CASTRO VALLEY",2011,23
"ORINDA",2010,22
"SARATOGA",2014,22
"CASTRO VALLEY",2012,21
"LOS GATOS",2010,20
"LOS GATOS",2011,19
"LOS GATOS",2012,19
"SAN LEANDRO",2010,19
"SARATOGA",2013,19
"ALAMEDA",2010,18
"PIEDMONT",2010,18
"CAMPBELL",2010,16
"KENSINGTON",2013,16
"LOS GATOS",2014,16
"ALBANY",2011,15
"CASTRO VALLEY",2010,15
"SAN PABLO",2013,15
"SARATOGA",2010,15
"ALAMEDA",2014,14
"ALBANY",2010,14
"ALBANY",2013,14
"CAMPBELL",2012,14
"RODEO",2014,14
"SAN PABLO",2014,14
"EMERYVILLE",2010,13
"ALAMEDA",2011,12
"KENSINGTON",2011,12
"KENSINGTON",2014,12
"PIEDMONT",2014,12
"SAN PABLO",2012,12
"ALBANY",2012,11
"CAMPBELL",2013,11
"PIEDMONT",2011,11
"PINOLE",2014,11
"SAN PABLO",2010,11
"ALAMEDA",2012,10
"EMERYVILLE",2011,10
"KENSINGTON",2012,10
"SAN LORENZO",2013,10
"SAN PABLO",2011,10
"ALBANY",2014,9
"PIEDMONT",2013,9
"PINOLE",2013,9
"SAN LORENZO",2012,9
"CAMPBELL",2011,8
"PIEDMONT",2012,8
"SAN LORENZO",2010,8
"ALAMEDA",2013,7
"EMERYVILLE",2013,7
"KENSINGTON",2010,7
"MORAGA",2010,7
"MORAGA",2012,7
"SAN LORENZO",2014,7
"EL SOBRANTE",2014,6
"EMERYVILLE",2014,6
"HERCULES",2014,6
"RODEO",2012,6
"CROCKETT",2013,5
"EMERYVILLE",2012,5
"HERCULES",2013,5
"MORAGA",2011,5
"RODEO",2011,5
"CROCKETT",2011,4
"EL SOBRANTE",2011,4
"EL SOBRANTE",2012,4
"HERCULES",2010,4
"MORAGA",2014,4
"RODEO",2010,4
"CAMPBELL",2014,3
"DIABLO",2014,3
"EL SOBRANTE",2013,3
"SAN LORENZO",2011,3
"CROCKETT",2010,2
"CROCKETT",2012,2
"MONTE SERENO",2013,2
"MONTE SERENO",2014,2
"PINOLE",2010,2
"PINOLE",2011,2
"PINOLE",2012,2
"RODEO",2013,2
"CROCKETT",2014,1
"DIABLO",2010,1
"DIABLO",2012,1
"DIABLO",2013,1
"EL SOBRANTE",2010,1
"HERCULES",2012,1
"MONTE SERENO",2012,1
"MORAGA",2013,1
