"","id","finish_date","year","street_number","street","cross_street","year_installed","material","diameter","leak_type","lon","lat","city","agency"
"1",1,"2014-10-23",2014,222,"WALNUT ST","WASHINGTON ST",1891,"CI","6",NA,-122.448918055556,37.7895130555556,"SAN FRANCISCO","SF WATER"
"2",2,"2014-10-21",2014,NA,"22ND ST","VERMONT ST",1897,"CI","12","SPLIT ON MAIN",-122.403935555556,37.7569322222222,"SAN FRANCISCO","SF WATER"
"3",3,"2014-12-29",2014,NA,"LISBON ST","RUSSIA ST",1902,"CI","6","CIRCUMFERENTIAL",-122.4347,37.7204,"SAN FRANCISCO","SF WATER"
"4",4,"2014-12-03",2014,NA,"6TH AVE","LAKE ST",1905,"CI","8","SINK HOLE",-122.4647,37.7867,"SAN FRANCISCO","SF WATER"
"5",5,"2014-10-01",2014,NA,"RANDALL ST","HARPER ST",1925,"CI","6",NA,-122.429918055556,37.740705,"SAN FRANCISCO","SF WATER"
"6",6,"2014-11-13",2014,8,"NAVAJO","CAYUGA",1927,"CI","4","LONGITUDINAL",-122.443222222222,37.7195055555556,"SAN FRANCISCO","SF WATER"
"7",7,"2014-10-17",2014,24,"DANVERS ST","MARKET ST",1931,"CI","6","HOLE",-122.443816111111,37.7610277777778,"SAN FRANCISCO","SF WATER"
"8",8,"2014-11-03",2014,NA,"DANVERS","MERRITT",1931,"CI","6","LONGITUDINAL",-122.443741666667,37.7609111111111,"SAN FRANCISCO","SF WATER"
"9",9,"2014-11-10",2014,1670,"43RD","MORAGA",1931,"CI","8","LONGITUDINAL",-122.502302777778,37.7554583333333,"SAN FRANCISCO","SF WATER"
"10",10,"2014-10-17",2014,NA,"LAWRENCE AVE","DE WOLF ST",1933,"CI","2",NA,-122.453583611111,37.7115633333333,"SAN FRANCISCO","SF WATER"
"11",11,"2014-12-13",2014,NA,"DWIGHT ST","GIRARD ST",1935,"CI","8","CIRCUMFERENTIAL",-122.4031,37.724,"SAN FRANCISCO","SF WATER"
"12",12,"2014-11-10",2014,191,"MAYNARD","CONGDON",1936,"CI","6",NA,-122.426269444444,37.7294194444444,"SAN FRANCISCO","SF WATER"
"13",13,"2014-11-24",2014,101,"ROLPH","PARIS",1936,"CI","8",NA,-122.44025,37.7150861111111,"SAN FRANCISCO","SF WATER"
"14",14,"2014-12-19",2014,4305,"24TH ST","DOUGLASS ST",1936,"CI","12","CIRCUMFERENTIAL & LONGITUDINAL",-122.4389,37.751,"SAN FRANCISCO","SF WATER"
